,תאריך הדיווח,31/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,חקלאים פנסיה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,חקלאים פנסיה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,סכום נכסי ההשקעה:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,שווי הוגן,שעור מנכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שווי הוגן
,,אלפי ₪,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עלות
,,(1),(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שווי הוגן/עעלות
,1. נכסים המוצגים לפי שווי הוגן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,א. מזומנים,"145,650.57",4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ב. ניירות ערך סחירים:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(1) תעודות התחייבות ממשלתיות,"179,828.26",5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(2) תעודות חוב מסחריות,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,"(3) אג""ח קונצרני","23,902.20",0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(4) מניות,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(5) תעודות סל,"147,705.93",4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(6) תעודות השתתפות בקרנות נאמנות,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(7) כתבי אופציה,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(8) אופציות,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(9) חוזים עתידיים,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(10) מוצרים מובנים,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ג. ניירות ערך לא סחירים:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(1) תעודות התחייבות ממשלתיות,"2,680,038.74",83.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(2) תעודות חוב מסחריות,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,"(3) אג""ח קונצרני",143.18,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(4) מניות,9.52,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(5) קרנות השקעה,0.35,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(6) כתבי אופציה,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(7) אופציות,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(8) חוזים עתידיים,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,(9) מוצרים מובנים,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,ד. הלוואות,1.66,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,ה. פקדונות מעל 3 חודשים,80.56,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,ו. זכויות מקרקעין,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,ז. השקעה בחברות מוחזקות,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,ח. השקעות אחרות,"25,000.00",0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. נכסים המוצגים לפי עלות מתואמת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,"א. אג""ח קונצרני סחיר",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,"ב. אג""ח קונצנרני לא סחיר",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,ג. מסגרות אשראי מנוצלות ללווים,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ סכום נכסי המסלול או הקרן","3,202,360.98",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◄,ט. יתרות התחייבות להשקעה:,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,שם מטבע,"שע""ח",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,דולר אמריקאי,3.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
